Subject,startdate,starttime,enddate,endtime,All Day Event,Reminder on/off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Meeting Resources,Billing Information,Categories,Show Time As,Private
Administrative & Supervisory Personnel Meeting,8/21/2017,12:00:00 AM,8/22/2017,12:00:00 AM,TRUE,FALSE,8/19/2017,11:45:00 PM,,,,,,,3,FALSE
Teachers and school based staff on Duty,8/25/2017,12:00:00 AM,8/26/2017,12:00:00 AM,TRUE,FALSE,8/23/2017,11:45:00 PM,,,,,,,3,FALSE
Teacher Classroom Preparation Day,8/28/2017,12:00:00 AM,8/29/2017,12:00:00 AM,TRUE,FALSE,8/26/2017,11:45:00 PM,,,,,,,3,FALSE
Systemwide Professional Development Activities,8/29/2017,12:00:00 AM,8/30/2017,12:00:00 AM,TRUE,FALSE,8/27/2017,11:45:00 PM,,,,,,,3,FALSE
Orientation for students entering the 6th and 9th Grades,8/30/2017,12:00:00 AM,8/31/2017,12:00:00 AM,TRUE,FALSE,8/28/2017,11:45:00 PM,,,,,,,3,FALSE
Labor Day – Schools and Offices Closed,9/4/2017,12:00:00 AM,9/5/2017,12:00:00 AM,TRUE,FALSE,9/2/2017,11:45:00 PM,,,,,,,3,FALSE
Opening Day for Students,9/5/2017,12:00:00 AM,9/6/2017,12:00:00 AM,TRUE,FALSE,9/3/2017,11:45:00 PM,,,,,,,3,FALSE
Rosh Hashanah – Schools and Offices Closed,9/21/2017,12:00:00 AM,9/22/2017,12:00:00 AM,TRUE,FALSE,9/19/2017,11:45:00 PM,,,,,,,3,FALSE
Columbus Day,10/9/2017,12:00:00 AM,10/10/2017,12:00:00 AM,TRUE,FALSE,10/7/2017,11:45:00 PM,,,,,,,3,FALSE
Systemwide Professional Development Day/MSEA Convention ,10/20/2017,12:00:00 AM,10/21/2017,12:00:00 AM,TRUE,FALSE,10/18/2017,11:45:00 PM,,,,,,,3,FALSE
First Marking Period Ends – Elementary and Middle Schools Close 3 Hours Early for Students,11/3/2017,12:00:00 AM,11/4/2017,12:00:00 AM,TRUE,FALSE,11/1/2017,11:45:00 PM,,,,,,,3,FALSE
Veterans Day,11/11/2017,12:00:00 AM,11/12/2017,12:00:00 AM,TRUE,FALSE,11/9/2017,11:45:00 PM,,,,,,,3,FALSE
American Education Week,11/13/2017,12:00:00 AM,11/18/2017,12:00:00 AM,TRUE,FALSE,11/15/2017,11:45:00 PM,,,,,,,3,FALSE
Report Cards Distributed; Preschool-3 and Pre-K Conference Day,11/16/2017,12:00:00 AM,11/17/2017,12:00:00 AM,TRUE,FALSE,11/14/2017,11:45:00 PM,,,,,,,3,FALSE
Elementary Conference Day – Schools Closed for Elementary Students – Teachers on Duty,11/17/2017,12:00:00 AM,11/18/2017,12:00:00 AM,TRUE,FALSE,11/15/2017,11:45:00 PM,,,,,,,3,FALSE
Thanksgiving Holiday – Schools and Offices Closed,11/23/2017,12:00:00 AM,11/25/2017,12:00:00 AM,TRUE,FALSE,11/22/2017,11:45:00 PM,,,,,,,3,FALSE
Christmas Holiday/Winter Break Begins at the End of School Day,12/22/2017,12:00:00 AM,12/23/2017,12:00:00 AM,TRUE,FALSE,12/20/2017,11:45:00 PM,,,,,,,3,FALSE
Christmas Holiday/Winter Break,12/23/2017,12:00:00 AM,1/2/2018,12:00:00 AM,TRUE,FALSE,12/30/2017,11:45:00 PM,,,,,,,3,FALSE
Schools Reopen,1/2/2018,12:00:00 AM,1/3/2018,12:00:00 AM,TRUE,FALSE,12/31/2017,11:45:00 PM,,,,,,,3,FALSE
Dr. Martin Luther King Jr. Birthday – Schools and Offices Closed,1/15/2018,12:00:00 AM,1/16/2018,12:00:00 AM,TRUE,FALSE,1/13/2018,11:45:00 PM,,,,,,,3,FALSE
Second Marking Period Ends; 3 Hours Early Release for Students in All Schools; Teachers on Duty,1/19/2018,12:00:00 AM,1/20/2018,12:00:00 AM,TRUE,FALSE,1/17/2018,11:45:00 PM,,,,,,,3,FALSE
Report Cards Distributed,2/1/2018,12:00:00 AM,2/2/2018,12:00:00 AM,TRUE,FALSE,1/30/2018,11:45:00 PM,,,,,,,3,FALSE
Lincoln's Birthday,2/12/2018,12:00:00 AM,2/13/2018,12:00:00 AM,TRUE,FALSE,2/10/2018,11:45:00 PM,,,,,,,3,FALSE
Presidents' Day – Schools and Offices Closed,2/19/2018,12:00:00 AM,2/20/2018,12:00:00 AM,TRUE,FALSE,2/17/2018,11:45:00 PM,,,,,,,3,FALSE
Washington's Birthday*,2/22/2018,12:00:00 AM,2/23/2018,12:00:00 AM,TRUE,FALSE,2/20/2018,11:45:00 PM,,,,,,,3,FALSE
